Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 05, 2022",34876.33,35112.21,34566.04,34641.18,34641.18,304010000
"Apr 04, 2022",34799.98,34940.78,34615.38,34921.88,34921.88,316570000
"Apr 01, 2022",34740.89,34847.91,34538.25,34818.27,34818.27,340400000
"Mar 31, 2022",35201.52,35201.52,34677.99,34678.35,34678.35,433400000
"Mar 30, 2022",35273.63,35361.36,35058.58,35228.81,35228.81,317320000
"Mar 29, 2022",35114.35,35372.26,35030.07,35294.19,35294.19,355050000
"Mar 28, 2022",34833.03,34957.93,34552.23,34955.89,34955.89,299790000
"Mar 25, 2022",34702.39,34942.7,34631.52,34861.24,34861.24,285440000
"Mar 24, 2022",34406.81,34713.56,34355.42,34707.94,34707.94,324870000
"Mar 23, 2022",34748.84,34748.84,34352.96,34358.5,34358.5,347880000
"Mar 22, 2022",34583.24,34882.03,34583.24,34807.46,34807.46,368550000
"Mar 21, 2022",34669.85,34808.28,34341.81,34552.99,34552.99,408490000
"Mar 18, 2022",34466.72,34755.2,34279.83,34754.93,34754.93,615420000
"Mar 17, 2022",33995.39,34483.92,33896.06,34480.76,34480.76,339470000
"Mar 16, 2022",33653.93,34075.94,33391.24,34063.1,34063.1,427400000
"Mar 15, 2022",32989.27,33620.84,32989.27,33544.34,33544.34,388810000
"Mar 14, 2022",33000.37,33395.59,32818.16,32945.24,32945.24,394940000
"Mar 11, 2022",33279.72,33515.61,32911.89,32944.19,32944.19,369480000
"Mar 10, 2022",33106.77,33236.59,32819.76,33174.07,33174.07,399480000
"Mar 09, 2022",32860.42,33457.28,32860.42,33286.25,33286.25,418670000
"Mar 08, 2022",32885.17,33402.98,32578.73,32632.64,32632.64,553750000
"Mar 07, 2022",33579.75,33579.75,32806.15,32817.38,32817.38,488400000
"Mar 04, 2022",33655.43,33655.43,33254.12,33614.8,33614.8,408390000
"Mar 03, 2022",33972.87,34179.07,33641.53,33794.66,33794.66,369740000
"Mar 02, 2022",33379.51,34013.67,33379.51,33891.35,33891.35,400920000
"Mar 01, 2022",33813.48,33870.14,33107.67,33294.95,33294.95,438730000
"Feb 28, 2022",33870.62,33963.63,33469.31,33892.6,33892.6,443460000
"Feb 25, 2022",33277.22,34095.74,33277.22,34058.75,34058.75,417630000
"Feb 24, 2022",32830.33,33269.34,32272.64,33223.83,33223.83,590850000
"Feb 23, 2022",33680.97,33832.59,33084.9,33131.76,33131.76,370600000
"Feb 22, 2022",33974.09,34024.74,33364.29,33596.61,33596.61,432090000
"Feb 18, 2022",34310.45,34423.58,33976.18,34079.18,34079.18,414080000
"Feb 17, 2022",34858.47,34858.47,34246.23,34312.03,34312.03,348720000
"Feb 16, 2022",34951.83,35042.09,34642.64,34934.27,34934.27,294410000
"Feb 15, 2022",34686.19,35047.79,34686.19,34988.84,34988.84,305670000
"Feb 14, 2022",34694.5,34744.56,34304.28,34566.17,34566.17,370320000
"Feb 11, 2022",35267.89,35431.15,34620.52,34738.06,34738.06,398860000
"Feb 10, 2022",35630.81,35800.24,35100.72,35241.59,35241.59,411620000
"Feb 09, 2022",35614.9,35824.28,35614.9,35768.06,35768.06,333610000
"Feb 08, 2022",35160.68,35544.89,35090.42,35462.78,35462.78,319190000
"Feb 07, 2022",35108.38,35325.01,34993.98,35091.13,35091.13,328910000
"Feb 04, 2022",35095.74,35333.55,34799.08,35089.74,35089.74,349880000
"Feb 03, 2022",35520.08,35535.94,35071.06,35111.16,35111.16,381020000
"Feb 02, 2022",35378.19,35679.2,35290.12,35629.33,35629.33,359540000
"Feb 01, 2022",35151.47,35441.09,34977.95,35405.24,35405.24,386080000
"Jan 31, 2022",34691.17,35148.14,34496.1,35131.86,35131.86,468070000
"Jan 28, 2022",34135.24,34731.77,33807.51,34725.47,34725.47,568440000
"Jan 27, 2022",34261.75,34773.32,34007.78,34160.78,34160.78,527780000
"Jan 26, 2022",34520.82,34815.67,33876.48,34168.09,34168.09,546330000
"Jan 25, 2022",34186.64,34591.04,33545.52,34297.73,34297.73,506430000
