Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
05-Apr-22,38731.3,38759.25,37935.95,38067.9,220560341,7019.55
04-Apr-22,37824.95,38765.85,37665.55,38635.2,309170581,14018.76
01-Apr-22,36298.35,37209.8,36242.35,37148.5,245689573,-
31-Mar-22,36457.2,36590.85,36278.15,36373.6,188135977,6187.65
30-Mar-22,36241.55,36421.1,36070.55,36334.3,325637452,8056.96
29-Mar-22,35931.75,35977.2,35506.55,35847.4,177135786,4586.33
28-Mar-22,35488.7,35770.8,35016.3,35710.5,197017630,5234.28
25-Mar-22,35700.4,35717.4,35203.85,35410.1,156997410,4862.65
24-Mar-22,35633.7,35957.7,35421.7,35527.1,205174581,8832.5
23-Mar-22,36627.7,36827.6,36064.75,36147.35,197900273,6074.26
22-Mar-22,35975.6,36468.8,35384.75,36348.55,202887630,5838.07
21-Mar-22,36545.85,36600.2,35900.2,36018.5,128655959,4771.04
17-Mar-22,36302.0,36611.95,36261.65,36428.55,181953699,6709.49
16-Mar-22,35555.75,35806.35,35461.55,35748.25,173798310,5703.97
15-Mar-22,35467.95,35643.8,34706.05,35022.65,224193669,8437.88
14-Mar-22,34660.25,35435.1,34625.05,35312.15,193297091,7589.67
11-Mar-22,34331.0,34880.05,34094.3,34546.25,169532120,6157.39
10-Mar-22,35153.95,35374.15,34218.05,34475.6,273948531,10109.9
09-Mar-22,33278.9,33969.5,32948.9,33815.45,258456568,9509.7
08-Mar-22,32531.9,33263.55,32155.35,33158.1,276830725,10371.94
07-Mar-22,33278.15,33543.3,32376.5,32871.25,248860897,8562.11
04-Mar-22,34526.1,35097.75,34094.1,34407.8,194466533,6367.62
03-Mar-22,35621.15,35804.15,34721.15,34944.3,172533577,6220.88
02-Mar-22,35381.9,35553.7,34897.45,35372.8,211288285,8248.77
28-Feb-22,35938.95,36270.25,35611.9,36205.3,238280153,7153.75
25-Feb-22,35901.7,36684.65,35768.2,36430.75,372802626,7472.49
24-Feb-22,36085.2,36709.15,34991.35,35228.1,427755807,9889.61
23-Feb-22,37628.55,37774.6,37318.0,37392.05,137348932,5203.1
22-Feb-22,36833.0,37659.4,36818.1,37371.65,159396702,5316.02
21-Feb-22,37400.0,38054.4,37156.8,37685.6,143330237,4172.28
18-Feb-22,37344.45,37817.55,37304.45,37599.15,113457242,3555.01
17-Feb-22,38042.1,38124.5,37425.6,37531.65,136324646,4766.59
16-Feb-22,38296.5,38461.7,37762.8,37953.8,170090059,5035.11
15-Feb-22,36989.8,38231.6,36651.85,38170.1,192987946,6083.63
14-Feb-22,37664.0,37796.55,36828.05,36908.55,213830951,6346.2
11-Feb-22,38567.65,38790.25,38396.4,38517.25,154963046,5482.57
10-Feb-22,38801.45,39197.2,38520.0,39010.95,147797202,5910.34
09-Feb-22,38283.6,38648.15,38192.0,38610.25,124856780,4526.22
08-Feb-22,38176.1,38222.1,37319.05,38028.45,200188205,6529.01
07-Feb-22,38592.05,38837.55,37802.7,37995.45,241900647,7565.95
04-Feb-22,39128.0,39278.6,38562.6,38789.35,163095693,5657.43
03-Feb-22,39255.7,39424.85,38861.15,39010.0,193762539,5923.08
02-Feb-22,38841.55,39386.6,38752.65,39330.5,252636678,7615.88
01-Feb-22,38460.45,38802.7,37690.6,38505.5,234113973,8524.68
31-Jan-22,38091.8,38217.25,37647.85,37975.35,217789465,7700.59
28-Jan-22,38246.6,38421.7,37581.5,37689.4,294272749,8873.07
27-Jan-22,37058.2,38147.65,37012.25,37982.1,346316385,11525.61
25-Jan-22,36598.05,37788.8,36415.6,37706.75,267527334,9128.85
