Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
05-Apr-22,18080.6,18095.45,17921.55,17957.4,283453612,25096.7
04-Apr-22,17809.1,18114.65,17791.4,18053.4,345526502,38623.94
01-Apr-22,17436.9,17703.7,17422.7,17670.45,291773447,-
31-Mar-22,17519.2,17559.8,17435.2,17464.75,281111679,24032.07
30-Mar-22,17468.15,17522.5,17387.2,17498.25,505031841,28907.47
29-Mar-22,17297.2,17343.65,17235.7,17325.3,235149625,20305.78
28-Mar-22,17181.85,17235.1,17003.9,17222.0,253240837,19976.26
25-Mar-22,17289.0,17294.9,17076.55,17153.0,237115741,20031.39
24-Mar-22,17094.95,17291.75,17091.15,17222.75,290280124,25011.72
23-Mar-22,17405.05,17442.4,17199.6,17245.65,292120348,24705.28
22-Mar-22,17120.4,17334.4,17006.3,17315.5,338263468,27347.6
21-Mar-22,17329.5,17353.35,17096.4,17117.6,285451208,22886.39
17-Mar-22,17202.9,17344.6,17175.75,17287.05,448335248,35367.28
16-Mar-22,16876.65,16987.9,16837.85,16975.35,259973396,21361.32
15-Mar-22,16900.65,16927.75,16555.0,16663.0,381631902,29731.09
14-Mar-22,16633.7,16887.95,16606.5,16871.3,314669685,23824.02
11-Mar-22,16528.8,16694.4,16470.9,16630.45,343717045,24720.34
10-Mar-22,16757.1,16757.3,16447.9,16594.9,486445481,35513.73
09-Mar-22,16078.0,16418.05,15990.0,16345.35,462231428,35329.34
08-Mar-22,15747.75,16028.75,15671.45,16013.45,543600673,38704.4
07-Mar-22,15867.95,15944.6,15711.45,15863.15,585403660,38038.75
04-Mar-22,16339.45,16456.0,16133.8,16245.35,456143040,34821.1
03-Mar-22,16723.2,16768.95,16442.95,16498.05,442068263,31413
02-Mar-22,16593.1,16678.5,16478.65,16605.95,517723542,39407.44
28-Feb-22,16481.6,16815.9,16356.3,16793.9,404214666,33831.57
25-Feb-22,16515.65,16748.8,16478.3,16658.4,329780732,25743.77
24-Feb-22,16548.9,16705.25,16203.25,16247.95,457967874,36650.83
23-Feb-22,17194.5,17220.7,17027.85,17063.25,200229631,17662.47
22-Feb-22,16847.95,17148.55,16843.8,17092.2,300131995,24040.84
21-Feb-22,17192.25,17351.05,17070.7,17206.65,215183301,18725.57
18-Feb-22,17236.05,17380.8,17219.2,17276.3,189620888,16126.96
17-Feb-22,17396.55,17442.9,17235.85,17304.6,232136131,19381.26
16-Feb-22,17408.45,17490.6,17257.7,17322.2,244549223,21128.38
15-Feb-22,16933.25,17375.0,16839.25,17352.45,298658142,24765.67
14-Feb-22,17076.15,17099.5,16809.65,16842.8,305510740,24976.16
11-Feb-22,17451.0,17454.75,17303.0,17374.75,253141660,23230.82
10-Feb-22,17554.1,17639.45,17427.15,17605.85,273606440,22210.93
09-Feb-22,17370.1,17477.15,17339.0,17463.8,236350514,19327.67
08-Feb-22,17279.85,17306.45,17043.65,17266.75,268526210,23846.16
07-Feb-22,17456.3,17536.75,17119.4,17213.6,265037933,21925.11
04-Feb-22,17590.2,17617.8,17462.55,17516.3,261434170,20651.85
03-Feb-22,17767.75,17781.15,17511.15,17560.2,226614989,20373.06
02-Feb-22,17706.2,17794.6,17674.8,17780.0,271205907,23611.59
01-Feb-22,17529.45,17622.4,17244.55,17576.85,386391485,30033.66
31-Jan-22,17301.05,17410.0,17264.15,17339.85,321660346,25474.13
28-Jan-22,17208.3,17373.5,17077.1,17101.95,355284285,29799.89
27-Jan-22,17062.0,17182.5,16866.75,17110.15,395596577,36296.64
25-Jan-22,17001.55,17309.15,16836.8,17277.95,326515896,31344.46
